Date,Open,High,Low,Close,Adj Close,Volume
2012-08-30,81.16000366210938,81.69999694824219,80.5999984741211,81.19000244140625,81.19000244140625,605000
2012-08-31,81.19000244140625,83.2300033569336,81.1500015258789,82.02999877929688,82.02999877929688,1659000
2012-09-04,79.75,81.0,79.75,81.0,81.0,614500
2012-09-05,80.02999877929688,81.5,79.25,79.45999908447266,79.45999908447266,1391000
2012-09-06,79.45999908447266,80.19999694824219,78.02999877929688,78.62999725341797,78.62999725341797,449500
2012-09-07,78.62999725341797,79.1500015258789,78.0,78.16999816894531,78.16999816894531,576000
2012-09-10,76.4000015258789,78.0,76.4000015258789,78.0,78.0,1202500
2012-09-11,77.30999755859375,78.0,77.30999755859375,78.0,78.0,282500
2012-09-12,77.7699966430664,78.94999694824219,77.5,78.08999633789062,78.08999633789062,491500
2012-09-13,77.01000213623047,78.0,77.01000213623047,78.0,78.0,72500
2012-09-14,77.05000305175781,78.23999786376953,76.69999694824219,77.04000091552734,77.04000091552734,555500
2012-09-17,77.04000091552734,77.5,76.30000305175781,76.4800033569336,76.4800033569336,441000
2012-09-18,76.5,77.44999694824219,76.5,77.44999694824219,77.44999694824219,813500
2012-09-19,77.0,77.38999938964844,76.5,76.7300033569336,76.7300033569336,516500
2012-09-20,76.7300033569336,77.0,76.25,76.45999908447266,76.45999908447266,263500
2012-09-24,76.45999908447266,76.94999694824219,75.0,75.12999725341797,75.12999725341797,323000
2012-09-25,75.12999725341797,76.19999694824219,75.0,75.19999694824219,75.19999694824219,328000
2012-09-26,75.19999694824219,76.30000305175781,75.0,75.29000091552734,75.29000091552734,189000
2012-09-27,75.29000091552734,75.75,74.6500015258789,74.98999786376953,74.98999786376953,105000
2012-09-28,74.98999786376953,75.5,73.0,73.7699966430664,73.7699966430664,2951000
2012-10-01,73.7699966430664,73.8499984741211,70.08999633789062,70.08999633789062,70.08999633789062,2435000
2012-10-02,70.08999633789062,71.37999725341797,68.30000305175781,69.27999877929688,69.27999877929688,2065500
